COMID,majority,minority,frac_1,frac_2,frac_5,frac_6,frac_8,frac_10,frac_11,frac_12,frac_14,frac_16,frac_17,frac_18,frac_19
71032440,16,5,0.293570250272751,0.0158103294670582,0.00011774328595493,0.00110521074384451,0.0163463354110718,0.107879914343357,0.000233313723583706,0.00111015106085688,0.000529844779521227,0.394408196210861,0.0060264733619988,0.0390403121709824,0.123821899294853
71032422,16,12,0.168541476130486,0.0161164458841085,0.000388773943996057,0.000918920210096985,0.0132506899535656,0.179693713784218,0,0.000367227534297854,0.00210291356779635,0.597088217735291,0.000951054564211518,0.00254470203071833,0.0180358253419399
71032185,16,12,0.143669545650482,0.00622579408809543,0.00039013908826746,0.0014095347141847,0.00609848601743579,0.0603280141949654,0,0.000163606702699326,0.000553745776414871,0.411822617053986,0,0.0946236252784729,0.274714857339859
71031893,1,6,0.462286055088043,0.020802678540349,0.00222743768244982,0.000954616174567491,0.00804738979786634,0.0337650068104267,0,0,0.00255875498987734,0.321473956108093,0.00505047431215644,0.00980171654373407,0.133031949400902
71029778,1,6,0.496840596199036,0.0134628303349018,0,0.000352077709976584,0.0158379282802343,0.0256539583206177,0.000541658024303615,0,0.00119164760690182,0.401623100042343,0.00598718924447894,0.00713818240910769,0.0313708186149597
71029528,1,12,0.743695974349976,0.0132241370156407,0.00065215298673138,0.00455455202609301,0.0224848352372646,0.0736215636134148,0,0.000280569394817576,0.000683708756696433,0.109462819993496,0.00641491077840328,0.0168405864387751,0.00808420404791832
71029071,1,16,0.88342946767807,0,0,0,0.00593242840841413,0.00763142528012395,0,0,0,0.00557833444327116,0.0801746100187302,0.017253715544939,0
