           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,            319,   64.29199    ,   38.34624    ,  0.3914711    ,   183.6732    ,   221.5972    ,  -23.69154    ,   7.329014    ,   1.668221    ,  -12.59274    ,  -8.875183    ,  -21.27654    ,   8.318068    ,  -12.68753    ,   0.000000    ,  -7.300995    ,  -4.325134    ,  0.5711975    ,  0.1261946E-02,  0.7323782    ,   77521.27    ,
           1980,            320,   76.86573    ,   44.29407    ,  0.4113783    ,   189.5074    ,   233.4385    ,  -20.07622    ,   9.050108    ,   2.385427    ,  -9.184182    ,  -9.005371    ,  -16.28229    ,   8.346498    ,  -11.20410    ,   0.000000    ,  -7.201965    ,  -5.015808    ,  0.5407104    ,  0.1700329E-02,   1.072991    ,   78121.38    ,
           1980,            321,   57.01216    ,   33.38010    ,  0.4013458    ,   195.7333    ,   228.3727    ,  -21.73198    ,   8.607518    , -0.1003287    ,  -10.59466    ,  -9.447205    ,  -19.85429    ,   8.330873    ,  -12.62683    ,   0.000000    ,  -8.070129    ,  -5.486877    ,  0.5087280    ,  0.1614159E-02,  0.9700221    ,   77641.99    ,
           1980,            322,   67.98481    ,   38.24203    ,  0.4242140    ,   186.0110    ,   225.6207    ,  -22.21585    ,   9.750081    ,  0.3035704    ,  -9.629359    ,  -11.88052    ,  -19.51622    ,   8.332808    ,  -12.35626    ,   0.000000    ,  -8.193420    ,  -5.892151    ,  0.4734497    ,  0.1651265E-02,   1.878100    ,   77029.68    ,
           1980,            323,   57.67270    ,   32.12237    ,  0.4293157    ,   210.0587    ,   237.5924    ,  -18.89568    ,   9.504106    ,  0.5916260    ,  -8.029449    ,  -11.80551    ,  -17.02615    ,   8.346547    ,  -11.71503    ,   0.000000    ,  -8.266510    ,  -6.184814    ,  0.4401245    ,  0.1771025E-02,   1.776655    ,   77433.84    ,
           1980,            324,   67.99808    ,   37.56285    ,  0.4345459    ,   202.7851    ,   237.4753    ,  -18.92032    ,   7.161709    ,   3.908356    ,  -6.923218    ,  -10.10455    ,  -15.88202    ,   8.309202    ,  -10.97357    ,   0.000000    ,  -8.035461    ,  -6.225647    ,  0.4097900    ,  0.1909557E-02,   1.758194    ,   77368.01    ,
           1980,            325,   57.42863    ,   31.26841    ,  0.4406813    ,   213.6458    ,   240.5146    ,  -18.04692    ,   6.321037    ,   2.502943    ,  -6.496658    ,  -11.79584    ,  -16.00134    ,   8.319772    ,  -10.67957    ,   0.000000    ,  -7.946533    ,  -6.178528    ,  0.3825684    ,  0.1704319E-02,   1.638309    ,   77240.91    ,
           1980,            326,   29.66896    ,   15.79404    ,  0.4498273    ,   239.4803    ,   251.4706    ,  -15.45801    ,   2.759684    ,   2.237483    ,  -5.383434    ,  -9.604004    ,  -14.86462    ,   8.203420    ,  -9.890686    ,   0.000000    ,  -7.683563    ,  -6.110077    ,  0.3599854    ,  0.2166020E-02,   1.492955    ,   75882.09    ,
           1980,            327,   50.88625    ,   26.49069    ,  0.4622045    ,   195.5200    ,   224.1332    ,  -22.76431    ,   4.696239    ,   3.372285    ,  -5.001840    ,  -14.03601    ,  -19.91780    ,   8.239108    ,  -9.284790    ,   0.000000    ,  -7.218140    ,  -5.812622    ,  0.3437805    ,  0.1224513E-02,   1.401176    ,   76808.41    ,
           1980,            328,   64.65604    ,   35.54181    ,  0.4388763    ,   175.0361    ,   208.5378    ,  -27.36081    ,   3.775264    ,   3.736072    ,  -7.560130    ,  -15.00946    ,  -24.52199    ,   8.283385    ,  -10.48239    ,   0.000000    ,  -7.545532    ,  -5.647034    ,  0.3303223    ,  0.9289815E-03,  0.9657595    ,   77002.85    ,
           1980,            329,   51.93797    ,   28.03168    ,  0.4438554    ,   188.2231    ,   216.6761    ,  -24.90251    ,   5.964489    ,   1.433287    ,  -7.564360    ,  -15.94214    ,  -22.49263    ,   8.341681    ,  -10.58240    ,   0.000000    ,  -7.651245    ,  -5.756348    ,  0.3183289    ,  0.9349974E-03,  0.8312224    ,   77698.45    ,
           1980,            330,   57.39279    ,   30.57758    ,  0.4512427    ,   182.2834    ,   217.3507    ,  -24.46422    ,   3.088564    ,   1.524765    ,  -7.384604    ,  -15.24280    ,  -21.38077    ,   8.321562    ,  -10.58606    ,   0.000000    ,  -7.715179    ,  -5.867523    ,  0.3065491    ,  0.1265523E-02,   2.236139    ,   77397.85    ,
           1980,            331,   43.04157    ,   23.50830    ,  0.4337006    ,   201.7031    ,   222.8168    ,  -23.15085    ,   6.020996    ,  0.9266286    ,  -7.791340    ,  -15.19489    ,  -21.96024    ,   8.333901    ,  -10.91534    ,   0.000000    ,  -7.945496    ,  -5.977875    ,  0.2947998    ,  0.1277059E-02,   1.320916    ,   77766.87    ,
           1980,            332,   38.91892    ,   21.41636    ,  0.4277228    ,   242.9501    ,   257.1989    ,  -13.95895    ,  -3.150961    ,   9.220833    ,  -4.828010    ,  -10.29922    ,  -13.17242    ,   8.224992    ,  -9.300781    ,   0.000000    ,  -7.465057    ,  -6.060516    ,  0.2832336    ,  0.2082333E-02,   3.493152    ,   76751.06    ,
           1980,            333,   56.97606    ,   31.46906    ,  0.4336908    ,   207.0009    ,   243.5450    ,  -17.37978    ,  -9.534322    ,   14.29753    ,  -3.743687    ,  -11.25311    ,  -13.96365    ,   8.212683    ,  -8.226990    ,   0.000000    ,  -6.769806    ,  -5.708557    ,  0.2731934    ,  0.1593844E-02,   4.429262    ,   76921.37    ,
           1980,            334,   38.41713    ,   20.43242    ,  0.4475994    ,   240.9576    ,   251.6339    ,  -15.10785    ,   5.766628    ,   3.357600    ,  -4.953223    ,  -12.76074    ,  -14.39670    ,   8.154811    ,  -8.623383    ,   0.000000    ,  -6.784119    ,  -5.414032    ,  0.2635498    ,  0.1556157E-02,   1.135919    ,   75480.29    ,
           1980,            335,   29.70345    ,   15.81355    ,  0.4494339    ,   227.2452    ,   241.8355    ,  -17.63658    ,   4.151270    ,   4.113311    ,  -4.407666    ,  -16.24219    ,  -16.79556    ,   8.213157    ,  -8.072388    ,   0.000000    ,  -6.433899    ,  -5.226379    ,  0.2543030    ,  0.1053112E-02,   1.359699    ,   76065.54    ,
