Merit_reorderd_ID,Outlet_Number,Rank,Next,Segid,tosegment
6,0,1,4,71032440,71029778
5,0,2,4,71032422,71029778
4,0,3,6,71032185,71029528
2,0,4,6,71029778,71029528
3,0,5,7,71031893,71029071
1,0,6,7,71029528,71029071
0,0,7,0,71029071,0
